LANGUAGE,GLOTTOCODE,CONCEPT,COGNATE
Assamese,assa1263,BAD,bad_al
Assamese,assa1263,BAD,bad_am
Avestan,aves1237,BAD,bad_i
Baluchi,east2304,BAD,bad_a
Baluchi,east2304,BAD,bad_z
Belarusian,bela1254,BAD,bad_0
Belarusian,bela1254,BAD,bad_k
Bengali,beng1280,BAD,bad_a
Bihari,biha1245,BAD,bad_a
Breton,bret1244,BAD,bad_e
Bulgarian,bulg1262,BAD,bad_f
Cagliari,sard1257,BAD,bad_d
Catalan,stan1289,BAD,bad_d
Classical_Armenian,clas1256,BAD,bad_0
Cornish,corn1251,BAD,bad_o
Cornish,corn1251,BAD,bad_t
Czech,czec1258,BAD,bad_g
Czech,czec1258,BAD,bad_s
Danish,dani1285,BAD,bad_q
Digor_Ossetic,digo1242,BAD,bad_an
Dutch,cent2352,BAD,bad_b
Eastern_Armenian,nucl1235,BAD,bad_p
English,stan1293,BAD,bad_t
Faroese,faro1244,BAD,bad_r
Flemish,cent2353,BAD,bad_b
French,stan1290,BAD,bad_d
Frisian,fris1239,BAD,bad_0
Frisian,fris1239,BAD,bad_h
Friulian,friu1240,BAD,bad_0
German,stan1295,BAD,bad_b
Gothic,goth1244,BAD,bad_u
Gujarati,guja1252,BAD,bad_a
