DOCULECT,GLOTTOCODE,CONCEPT,CONCEPTICON_GLOSS,CONCEPTICON_ID,COGNATE
Swiss_German,swis1247,ashes,ASH,646,ashes_a
Tajik,taji1245,ashes,ASH,646,ashes_j
Tocharian_A,tokh1242,ashes,ASH,646,ashes_o
Tocharian_B,tokh1243,ashes,ASH,646,ashes_o
Tosk,alba1268,ashes,ASH,646,ashes_e
Ukrainian,ukra1253,ashes,ASH,646,ashes_g
Upper_Sorbian,uppe1395,ashes,ASH,646,ashes_g
Urdu,urdu1245,ashes,ASH,646,ashes_i
Vedic_Sanskrit,sans1269,ashes,ASH,646,ashes_a
Vedic_Sanskrit,sans1269,ashes,ASH,646,ashes_n
Wakhi,wakh1245,ashes,ASH,646,ashes_d
Walloon,wall1255,ashes,ASH,646,ashes_e
Waziri,waci1238,ashes,ASH,646,ashes_q
Welsh,wels1247,ashes,ASH,646,ashes_f
Zazaki,kirm1248,ashes,ASH,646,ashes_r
Adapazar,homs1234,at,AT,1461,at_d
Afrikaans,afri1274,at,AT,1461,at_v
Ancient_Greek,anci1242,at,AT,1461,at_0
Ancient_Greek,anci1242,at,AT,1461,at_ah
Ancient_Greek,anci1242,at,AT,1461,at_i
Ancient_Greek,anci1242,at,AT,1461,at_j
Arumanian,arom1237,at,AT,1461,at_r
Arvanitika,arva1236,at,AT,1461,at_c
Assamese,assa1263,at,AT,1461,at_h
Baluchi,east2304,at,AT,1461,at_a
Baluchi,east2304,at,AT,1461,at_aa
Belarusian,bela1254,at,AT,1461,at_0
Belarusian,bela1254,at,AT,1461,at_n
Breton,bret1244,at,AT,1461,at_j
Bulgarian,bulg1262,at,AT,1461,at_q
Cagliari,sard1257,at,AT,1461,at_r
Catalan,stan1289,at,AT,1461,at_0
Catalan,stan1289,at,AT,1461,at_r
Classical_Armenian,clas1256,at,AT,1461,at_0
Classical_Armenian,clas1256,at,AT,1461,at_ah
Cornish,corn1251,at,AT,1461,at_w
Czech,czec1258,at,AT,1461,at_0
Czech,czec1258,at,AT,1461,at_n
Czech,czec1258,at,AT,1461,at_o
Czech,czec1258,at,AT,1461,at_p
Czech,czec1258,at,AT,1461,at_q
Danish,dani1285,at,AT,1461,at_u
Digor_Ossetic,digo1242,at,AT,1461,at_a
Dutch,cent2352,at,AT,1461,at_v
Eastern_Armenian,nucl1235,at,AT,1461,at_0
English,stan1293,at,AT,1461,at_r
Faroese,faro1244,at,AT,1461,at_0
Faroese,faro1244,at,AT,1461,at_r
